Areaname,Land Area
Jackson_Arkansas_UnitedStates,633.94
Jefferson_Arkansas_UnitedStates,870.75
Johnson_Arkansas_UnitedStates,659.8
Lafayette_Arkansas_UnitedStates,528.27
Lawrence_Arkansas_UnitedStates,587.61
Lee_Arkansas_UnitedStates,602.62
Lincoln_Arkansas_UnitedStates,561.52
Little River_Arkansas_UnitedStates,532.25
Logan_Arkansas_UnitedStates,708.13
Lonoke_Arkansas_UnitedStates,770.73
Madison_Arkansas_UnitedStates,834.26
Marion_Arkansas_UnitedStates,597.01
Miller_Arkansas_UnitedStates,625.58
Mississippi_Arkansas_UnitedStates,900.57
Monroe_Arkansas_UnitedStates,607.12
Montgomery_Arkansas_UnitedStates,779.88
Nevada_Arkansas_UnitedStates,617.84
Newton_Arkansas_UnitedStates,820.9
Ouachita_Arkansas_UnitedStates,732.78
Perry_Arkansas_UnitedStates,551.4
Phillips_Arkansas_UnitedStates,695.66
Pike_Arkansas_UnitedStates,600.62
Poinsett_Arkansas_UnitedStates,758.39
Polk_Arkansas_UnitedStates,857.68
Pope_Arkansas_UnitedStates,812.55
Prairie_Arkansas_UnitedStates,647.96
Pulaski_Arkansas_UnitedStates,759.76
Randolph_Arkansas_UnitedStates,652.19
St. Francis_Arkansas_UnitedStates,634.77
Saline_Arkansas_UnitedStates,723.6
Scott_Arkansas_UnitedStates,892.32
Searcy_Arkansas_UnitedStates,666.1
Sebastian_Arkansas_UnitedStates,531.91
Sevier_Arkansas_UnitedStates,565.13
Sharp_Arkansas_UnitedStates,604.44
Stone_Arkansas_UnitedStates,606.41
Union_Arkansas_UnitedStates,1039.21
Van Buren_Arkansas_UnitedStates,708.14
Washington_Arkansas_UnitedStates,941.97
White_Arkansas_UnitedStates,1035.08
Woodruff_Arkansas_UnitedStates,586.79
Yell_Arkansas_UnitedStates,929.98
Alameda_California_UnitedStates,739.02
Alpine_California_UnitedStates,738.33
Amador_California_UnitedStates,594.58
Butte_California_UnitedStates,1636.46
Calaveras_California_UnitedStates,1020.01
Colusa_California_UnitedStates,1150.73
Contra Costa_California_UnitedStates,715.94
Del Norte_California_UnitedStates,1006.37
El Dorado_California_UnitedStates,1707.88
Fresno_California_UnitedStates,5957.99
Glenn_California_UnitedStates,1313.95
Humboldt_California_UnitedStates,3567.99
Imperial_California_UnitedStates,4176.6
Inyo_California_UnitedStates,10180.88
Kern_California_UnitedStates,8131.92
Kings_California_UnitedStates,1389.42
Lake_California_UnitedStates,1256.46
Lassen_California_UnitedStates,4541.18
Los Angeles_California_UnitedStates,4057.88
Madera_California_UnitedStates,2137.07
Marin_California_UnitedStates,520.31
Mariposa_California_UnitedStates,1448.82
Mendocino_California_UnitedStates,3506.34
Merced_California_UnitedStates,1934.97
Modoc_California_UnitedStates,3917.77
Mono_California_UnitedStates,3048.98
Monterey_California_UnitedStates,3280.6
Napa_California_UnitedStates,748.36
Nevada_California_UnitedStates,957.77
Orange_California_UnitedStates,790.57
Placer_California_UnitedStates,1407.01
Plumas_California_UnitedStates,2553.04
Riverside_California_UnitedStates,7206.48
Sacramento_California_UnitedStates,964.64
San Benito_California_UnitedStates,1388.71
San Bernardino_California_UnitedStates,20056.94
San Diego_California_UnitedStates,4206.63
San Francisco_California_UnitedStates,46.87
San Joaquin_California_UnitedStates,1391.32
